--------------------------------------------------
 TIME  | PC | OP | Z C N V | N2 NOS TOS
---------------------------------------------------
     0 | 00 | 07 | 0 0 0 0 | 0a 0b 0c
    30 | 01 | 05 | 0 0 1 0 | 0b 0c 07
    50 | 02 | 03 | 0 0 1 0 | 0c 07 05
    70 | 03 |ADD | 0 0 1 0 | 07 05 03
    90 | 04 |ADD | 0 0 0 0 | 07 07 08
   110 | 05 |SWAP| 0 0 1 0 | 07 07 0f
   130 | 06 |SWAP| 0 0 1 0 | 07 0f 07
   150 | 07 |DUP | 0 0 1 0 | 07 07 0f
   170 | 08 |DROP| 0 0 1 0 | 07 0f 0f
   190 | 09 | 00 | 0 0 1 0 | 07 07 0f
   210 | 0a | 01 | 1 0 0 0 | 07 0f 00
   230 | 0b |SUB | 0 0 1 0 | 0f 00 01
   250 | 0c | 01 | 0 0 0 0 | 0f 0f fe
   270 | 0d |ADC | 0 0 1 0 | 0f fe 01
   290 | 0e | 01 | 0 0 1 0 | 0f 0f ff
   310 | 0f | 02 | 0 0 1 0 | 0f ff 01
   330 | 10 | 03 | 0 0 0 0 | ff 01 02
   350 | 11 |OVER| 0 0 1 0 | 01 02 03
   370 | 12 | 01 | 0 0 0 0 | 02 03 02
   390 | 13 | 02 | 0 0 1 0 | 03 02 01
   410 | 14 | 03 | 0 0 0 0 | 02 01 02
   430 | 15 |TUCK| 0 0 1 0 | 01 02 03
   450 | 16 |ROT | 0 0 1 0 | 01 02 03
   470 | 17 |INC | 0 0 1 0 | 01 02 03
   490 | 18 |INC | 0 0 1 0 | 01 02 03
   510 | 19 |INC | 0 0 1 0 | 01 02 03
   530 | 1a |DEC | 0 0 1 0 | 01 02 03
   550 | 1b |DEC | 0 0 0 0 | 01 02 02
   570 | 1c |DEC | 0 0 1 0 | 01 02 01
   590 | 1d | 6d | 1 0 0 0 | 01 02 00
   610 | 1e |SHL | 0 0 1 0 | 02 00 6d
   630 | 1f |SHL | 0 0 0 0 | 02 00 da
   650 | 20 |SHR | 0 0 0 0 | 02 00 b4
   670 | 21 |SHR | 0 0 0 0 | 02 00 5a
   690 | 22 | 3f | 0 0 1 0 | 02 00 2d
   710 | 23 | 3f | 0 0 1 0 | 00 2d 3f
   730 | 24 | 3f | 0 0 1 0 | 2d 3f 3f
   750 | 25 | 01 | 0 0 1 0 | 3f 3f 3f
   770 | 26 | 02 | 0 0 1 0 | 3f 3f 01
   790 | 27 | 03 | 0 0 0 0 | 3f 01 02
   810 | 28 | 04 | 0 0 1 0 | 01 02 03
   830 | 29 | 05 | 0 0 0 0 | 02 03 04
   850 | 2a | 06 | 0 0 1 0 | 03 04 05
   870 | 2b | 07 | 0 0 0 0 | 04 05 06
   890 | 2c | 08 | 0 0 1 0 | 05 06 07
   910 | 2d |DROP| 0 0 0 0 | 06 07 08
   930 | 2e |DROP| 0 0 1 0 | 06 06 07
   950 | 2f |DROP| 0 0 0 0 | 06 06 06
   970 | 30 |DROP| 0 0 0 0 | 06 06 06
   990 | 31 |DROP| 0 0 0 0 | 06 06 06
  1010 | 32 |DROP| 0 0 0 0 | 06 06 06
  1030 | 33 |DROP| 0 0 0 0 | 06 06 06
  1050 | 34 |DROP| 0 0 0 0 | 06 06 06
  1070 | 35 | 00 | 0 0 0 0 | 06 06 06
  1090 | 36 | 00 | 1 0 0 0 | 06 06 00
  1110 | 37 | 00 | 1 0 0 0 | 06 00 00
  1130 | 38 | 00 | 1 0 0 0 | 00 00 00
  1150 | 39 | 00 | 1 0 0 0 | 00 00 00
  1170 | 3a | 00 | 1 0 0 0 | 00 00 00
  1190 | 3b | 00 | 1 0 0 0 | 00 00 00
  1210 | 3c | 00 | 1 0 0 0 | 00 00 00
--------------------------------------------
mini8_tb.v:166: $finish called at 1225000 (1ps)
